easting,northing,number_of_vehicles,casualty_severity,age_of_casualty,1st_road_class_a_m,1st_road_class_b,1st_road_class_c,1st_road_class_motorway,1st_road_class_unclassified,road_surface_dry,road_surface_flood,road_surface_snow,lighting_conditions_darkness_no_street_lighting,lighting_conditions_darkness_street_lighting_unknown,lighting_conditions_darkness_street_lights_present_but_unlit,lighting_conditions_daylight_street_lights_present,weather_conditions_fine_with_high_winds,weather_conditions_fine_without_high_winds,weather_conditions_raining_with_high_winds,weather_conditions_raining_without_high_winds,weather_conditions_snowing_with_high_winds,weather_conditions_snowing_without_high_winds,casualty_class_passenger,casualty_class_pedestrian,sex_of_casualty_male,type_of_vehicle_car,type_of_vehicle_goods_vehicle,type_of_vehicle_minibus,type_of_vehicle_motorcycle,type_of_vehicle_other_vehicle,type_of_vehicle_pedal_cycle,accident_day_of_week,accident_week,accident_hour,road_surface_frost,road_surface_wet,lighting_conditions_darkness_street_lights_present_and_lit,weather_conditions_fog_or_mist,weather_conditions_no_report,casualty_class_driver,year,day,day_of_week_1,day_of_week_2,day_of_week_3,day_of_week_4,day_of_week_5,day_of_week_6,month_2,month_3,month_4,month_5,month_6,month_7,month_8,month_9,month_10,month_11,month_12
431914,430363,1,1,46,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,6,44,2,0,1,1,0,0,0,2009,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
431914,430363,1,1,44,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,6,44,2,0,1,1,0,0,0,2009,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
434345,434354,2,0,24,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,6,44,13,0,0,0,0,0,0,2009,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
434345,434354,2,0,13,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,6,44,13,0,0,0,0,0,0,2009,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
433753,441992,2,0,20,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,6,44,18,0,1,0,0,0,0,2009,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
433753,441992,2,0,18,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,6,44,18,0,1,0,0,0,0,2009,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
430226,433202,1,1,20,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,6,44,1,0,0,1,0,0,0,2009,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
438099,431586,1,0,20,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,49,7,0,1,0,0,0,0,2009,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
432151,435283,1,0,7,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,1,49,18,0,0,1,0,0,0,2009,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
438554,430035,2,0,23,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,49,19,0,0,1,0,0,0,2009,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
425747,431487,2,0,46,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,49,12,0,1,0,0,0,0,2009,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
432192,442256,2,0,25,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,3,6,0,1,0,0,0,0,2009,13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
428956,435470,2,1,20,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,3,15,0,0,0,0,0,0,2009,13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
428470,435284,2,0,38,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,3,21,0,1,0,0,0,0,2009,13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
426322,428159,2,0,37,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,2,3,18,0,0,1,0,0,0,2009,14,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
420436,440143,2,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,2,3,7,1,0,1,0,0,0,2009,14,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
428061,435959,2,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,2,3,8,0,1,1,0,0,0,2009,14,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
